id,name,level,atk,durable,buyCoin,delCoin,picWay,levelUp
ID,名称,等级,攻击,耐久,购买所需金币,删除价格,图片路径,升级需求
1,铲1,1,4,3,50,50,shovel_1,52
2,铲2,2,6,3,75,75,shovel_2,92
3,铲3,3,12,3,100,100,shovel_3,161
4,铲4,4,18,4,125,125,shovel_4,281
5,铲5,5,36,4,150,150,shovel_5,492
6,铲6,6,54,4,175,175,shovel_6,862
7,铲7,7,108,5,200,200,shovel_7,1508
8,铲8,8,162,5,225,225,shovel_8,2639
9,铲9,9,324,5,250,250,shovel_9,4618
10,铲10,10,486,6,275,275,shovel_10,8081
11,铲11,11,972,6,300,300,shovel_11,14141
12,铲12,12,1458,6,325,325,shovel_12,24746
13,铲13,13,2916,7,350,350,shovel_13,43305
14,铲14,14,4374,7,375,375,shovel_14,75783
15,铲15,15,8748,7,400,400,shovel_15,132620
16,铲16,16,13122,8,425,425,shovel_16,232085
17,铲17,17,26244,8,450,450,shovel_17,406148
18,铲18,18,39366,8,475,475,shovel_18,710759
19,铲19,19,78732,9,500,500,shovel_19,1243828
20,铲20,20,118098,9,525,525,shovel_20,2176699
21,铲21,21,236196,9,550,550,shovel_21,3809223
22,铲22,22,354294,10,575,575,shovel_22,6666140
23,铲23,23,708588,10,600,600,shovel_23,11665745
24,铲24,24,1062882,10,625,625,shovel_24,20415053
25,铲25,25,2125764,10,650,650,shovel_25,0
26,铲26,26,3188646,10,675,675,shovel_26,0
27,铲27,27,6377292,10,700,700,shovel_27,0
28,铲28,28,9565938,10,725,725,shovel_28,0
29,铲29,29,19131876,10,750,750,shovel_29,0
30,铲30,30,28697814,10,775,775,shovel_30,0
